run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_tfidf_cos,clean,qar,tfidf_cos,classical,0.5568,0.4633,0.8355,0.7157,0.1757,0.5176,2.5479,22.5572,0.5375,0.4889,0.8222,0.7037,0.1926,0.5111,2.4148,21.9806,0.5655,,0.5
clean_qar_tfidf_svr,clean,qar,tfidf_svr,classical,0.9378,0.8562,0.9952,0.1502,0.2668,0.8610,0.9042,8.4569,0.8402,0.7185,0.9704,0.3185,0.1778,0.6889,1.4519,12.7831,0.8246,,0.5
clean_ra_tfidf_cos,clean,ra,tfidf_cos,classical,0.5445,0.4696,0.8211,0.7412,0.3259,0.5224,2.5256,21.7760,0.5543,0.5037,0.8074,0.7037,0.3481,0.5259,2.3333,20.3827,0.5502,,0.4
clean_ra_tfidf_svr,clean,ra,tfidf_svr,classical,0.9290,0.8355,0.9952,0.1709,0.2428,0.8339,0.9457,9.1412,0.8376,0.7407,0.9630,0.3037,0.1556,0.6815,1.4889,13.2707,0.8231,,0.5
raw_qar_tfidf_cos,raw,qar,tfidf_cos,classical,0.5377,0.4569,0.8323,0.7348,0.1677,0.4696,2.6597,23.7473,0.5331,0.4815,0.8222,0.7111,0.1778,0.4889,2.4963,22.8818,0.5772,,0.4
raw_qar_tfidf_svr,raw,qar,tfidf_svr,classical,0.9383,0.8578,0.9952,0.1486,0.2141,0.8498,0.9681,9.5405,0.8427,0.7259,0.9704,0.3111,0.1630,0.6741,1.4741,13.1781,0.8246,,0.5
raw_ra_tfidf_cos,raw,ra,tfidf_cos,classical,0.5181,0.4553,0.8403,0.7412,0.3211,0.4872,2.5927,22.5281,0.5394,0.4444,0.8444,0.7259,0.3481,0.5111,2.3778,21.2222,0.5628,,0.4
raw_ra_tfidf_svr,raw,ra,tfidf_svr,classical,0.9295,0.8371,0.9952,0.1693,0.2891,0.8339,0.8978,8.1774,0.8461,0.7407,0.9704,0.2963,0.1778,0.6815,1.4593,12.6596,0.8231,,0.5
segment_qar_tfidf_cos,segment,qar,tfidf_cos,classical,0.5736,0.4808,0.8291,0.6949,0.2173,0.5128,2.3291,20.5148,0.5340,0.5259,0.8000,0.6889,0.2074,0.5185,2.2444,20.2213,0.5585,,0.5
segment_qar_tfidf_svr,segment,qar,tfidf_svr,classical,0.9326,0.8323,0.9952,0.1741,0.2604,0.8482,0.9281,8.6620,0.8284,0.7111,0.9630,0.3407,0.1704,0.7185,1.4296,12.6905,0.8232,,0.5
segment_ra_tfidf_cos,segment,ra,tfidf_cos,classical,0.5356,0.4521,0.8419,0.7268,0.3626,0.5272,2.2588,19.3730,0.5349,0.4593,0.8370,0.7111,0.3704,0.5111,2.1481,18.5926,0.5728,,0.4
segment_ra_tfidf_svr,segment,ra,tfidf_svr,classical,0.9446,0.8722,0.9952,0.1342,0.2891,0.8419,0.8978,8.1721,0.8470,0.7481,0.9778,0.2889,0.2000,0.7111,1.4148,12.2707,0.8288,,0.5
